Entry ID,PDB ID,Resolution (Å),Asym ID,Source Organism,Gene Name,Entry Id (Polymer Entity Identifiers),Accession Code(s),Database Name
6XRZ,6XRZ,6.9,,Severe acute respiratory syndrome coronavirus 2,,6XRZ,1860584649,GenBank
7LYJ,7LYJ,2.11,,Severe acute respiratory syndrome coronavirus 2,,7LYJ,,
7MKY,7MKY,1.31,,Severe acute respiratory syndrome coronavirus 2,,7MKY,,
7ACT,7ACT,,,Severe acute respiratory syndrome coronavirus 2,N,7ACT,P0DTC9,UniProt
,,,,Severe acute respiratory syndrome coronavirus 2,,7ACT,,
7ACS,7ACS,,,Severe acute respiratory syndrome coronavirus 2,N,7ACS,P0DTC9,UniProt
,,,,Severe acute respiratory syndrome coronavirus 2,,7ACS,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7ACS,,
7LTU,7LTU,1.122,,Severe acute respiratory syndrome coronavirus 2,N,7LTU,P0DTC9,UniProt
7LM9,7LM9,1.53,,SARS coronavirus MA15,S,7LM9,D2E265,UniProt
,,,,Homo sapiens,,7LM9,,
,,,,Homo sapiens,,7LM9,,
7JTL,7JTL,2.04,,Severe acute respiratory syndrome coronavirus 2,8,7JTL,P0DTC8,UniProt
6VW1,6VW1,2.68,,Homo sapiens,ACE2,6VW1,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome-related coronavirus,S,6VW1,P59594,UniProt
,,,,,2,,P0DTC2,UniProt
,,,,Severe acute respiratory syndrome coronavirus 2,S,,,
,,,,,2,,,
,,,,Severe acute respiratory syndrome-related coronavirus,S,,,
,,,,,2,,,
6Z4U,6Z4U,1.95,,Severe acute respiratory syndrome coronavirus 2,9b,6Z4U,P0DTD2,UniProt
7C8D,7C8D,3,,Felis catus,ACE2,7C8D,Q56H28,UniProt
,,,,,ACE2,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7C8D,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6VXX,6VXX,2.8,,Severe acute respiratory syndrome coronavirus 2,S,6VXX,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7LUX,7LUX,1.303,,Severe acute respiratory syndrome coronavirus 2,N,7LUX,P0DTC9,UniProt
7DPM,7DPM,3.304,,Homo sapiens,,7DPM,,
,,,,Homo sapiens,,7DPM,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7DPM,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6XDC,6XDC,2.9,,Severe acute respiratory syndrome coronavirus 2,3a,6XDC,P0DTC3,UniProt
,,,,,3a,,,
2CME,2CME,2.8,,Severe acute respiratory syndrome-related coronavirus,9b,2CME,P59636,UniProt
,,,,Severe acute respiratory syndrome-related coronavirus,9b,2CME,P59636,UniProt
,,,,Severe acute respiratory syndrome-related coronavirus,9b,2CME,P59636,UniProt
,,,,Severe acute respiratory syndrome-related coronavirus,9b,2CME,P59636,UniProt
7C8J,7C8J,3.18,,Rhinolophus macrotis,ACE2,7C8J,E2DHI3,UniProt
,,,,,ACE2,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7C8J,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6VYB,6VYB,3.2,,Severe acute respiratory syndrome coronavirus 2,S,6VYB,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7CAB,7CAB,3.52,,Severe acute respiratory syndrome coronavirus 2,S,7CAB,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7LM8,7LM8,1.936,,Severe acute respiratory syndrome coronavirus 2,S,7LM8,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7LM8,,
,,,,Homo sapiens,,7LM8,,
,,,,Homo sapiens,,7LM8,,
,,,,Homo sapiens,,7LM8,,
7KZB,7KZB,2.83,,Homo sapiens,,7KZB,,
,,,,Homo sapiens,,7KZB,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7KZB,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KZB,,
,,,,Homo sapiens,,7KZB,,
7JN5,7JN5,2.705,,Homo sapiens,,7JN5,,
,,,,Homo sapiens,,7JN5,,
,,,,Severe acute respiratory syndrome-related coronavirus,S,7JN5,P59594,UniProt
,,,,,2,,,
7AD1,7AD1,2.92,,Severe acute respiratory syndrome coronavirus 2,S,7AD1,P0DTC2,UniProt
,,,,,2,,M1E1E4,UniProt
,,,,Human immunodeficiency virus 1,,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S gene,,,
6M3M,6M3M,2.7,,Severe acute respiratory syndrome coronavirus 2,N,6M3M,P0DTC9,UniProt
7CAH,7CAH,3.9,,Homo sapiens,,7CAH,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7CAH,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7CAH,,
6WZQ,6WZQ,1.45,,Severe acute respiratory syndrome coronavirus 2,N,6WZQ,P0DTC9,UniProt
6WZO,6WZO,1.42,,Severe acute respiratory syndrome coronavirus 2,N,6WZO,P0DTC9,UniProt
7LV2,7LV2,1.301,,Severe acute respiratory syndrome coronavirus 2,N,7LV2,P0DTC9,UniProt
7LUZ,7LUZ,1.101,,Severe acute respiratory syndrome coronavirus 2,N,7LUZ,P0DTC9,UniProt
7CAI,7CAI,3.49,,Homo sapiens,,7CAI,,
,,,,Homo sapiens,,7CAI,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7CAI,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7CAC,7CAC,3.55,,Severe acute respiratory syndrome coronavirus 2,S,7CAC,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7CAC,,
,,,,Homo sapiens,,7CAC,,
6M0J,6M0J,2.45,,Homo sapiens,ACE2,6M0J,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,6M0J,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7.00E+23,7.00E+23,3.3,,Severe acute respiratory syndrome coronavirus 2,S,7.00E+23,P0DTC2,UniProt
,,,,,2,,,
,,,,Homo sapiens,,7.00E+23,,
,,,,Homo sapiens,,7.00E+23,,
6LXT,6LXT,2.9,,Severe acute respiratory syndrome coronavirus 2,S,6LXT,P0DTC2,UniProt
,,,,,2,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,,,
,,,,,2,,,
7K3G,7K3G,,,Severe acute respiratory syndrome coronavirus 2,E,7K3G,P0DTC4,UniProt
,,,,,4,,,
,,,,,E,,,
,,,,,4,,,
7M6D,7M6D,3.1,,Homo sapiens,,7M6D,,
,,,,Homo sapiens,,7M6D,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7M6D,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7M6D,,
,,,,Homo sapiens,,7M6D,,
7CAK,7CAK,3.58,,Severe acute respiratory syndrome coronavirus 2,S,7CAK,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7CAK,,
,,,,Homo sapiens,,7CAK,,
7EK6,7EK6,1.243,,Severe acute respiratory syndrome coronavirus 2,S,7EK6,P0DTC2,UniProt
,,,,,2,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7EK6,P0DTC2,UniProt
,,,,,2,,,
7EGQ,7EGQ,3.35,,Severe acute respiratory syndrome coronavirus 2,rep,7EGQ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EGQ,P0DTD1,UniProt
,,,,,1a-1b,,,
